Case Number,Category,Program,Initiative,Organization,Type,Value,
AH2-DUF-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,County of Dufferin,Comply with Canadian Environmental Assessment Act,Yes,
AH2-HAS-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,County of Hastings,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH2-HAS-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,County of Hastings,Comply with Canadian Environmental Assessment Act,Yes,
AH2-HAS-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,County of Hastings,Energy Efficiency,Energy Star-rated Products,
AH2-HAS-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,County of Hastings,Energy Efficiency,Other,
AH2-HAS-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,County of Hastings,Energy Efficiency,Smart Meter (Individually Metered Units),
AH2-HAS-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,County of Hastings,LEED Certification,,
AH2-HAS-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,County of Hastings,Renewable Energy,Comments,
AH2-HAS-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,County of Hastings,Renewable Energy,Solar Photovoltaic,
AH2-OXF-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,County of Oxford,Comply with Canadian Environmental Assessment Act,Yes,
AH2-OXF-RS-003,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,County of Oxford,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH2-OXF-RS-003,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,County of Oxford,Comply with Canadian Environmental Assessment Act,Yes,
AH2-OXF-RS-003,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,County of Oxford,Energy Efficiency,Energy Star-rated Products,
AH2-OXF-RS-005,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,County of Oxford,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH2-OXF-RS-005,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,County of Oxford,Comply with Canadian Environmental Assessment Act,Yes,
AH2-WEL-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,County of Wellington,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH2-WEL-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,County of Wellington,Comply with Canadian Environmental Assessment Act,Yes,
AH2-WEL-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,County of Wellington,Energy Efficiency,Energy Star-rated Products,
AH2-WEL-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,County of Wellington,Energy Efficiency,Smart Meter (Individually Metered Units),
AH2-WEL-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,County of Wellington,LEED Certification,Certified,
AH2-MUS-RS-002,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,District Municipality of Muskoka,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH2-MUS-RS-002,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,District Municipality of Muskoka,Comply with Canadian Environmental Assessment Act,Yes,
AH2-MUS-RS-002,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,District Municipality of Muskoka,Energy Efficiency,Energy Star-rated Products,
AH2-CHA-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,Municipality of Chatham-Kent,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH2-CHA-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,Municipality of Chatham-Kent,Comply with Canadian Environmental Assessment Act,Yes,
AH2-CHA-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,Municipality of Chatham-Kent,Energy Efficiency,Energy Star-rated Products,
AH2-CHA-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,Municipality of Chatham-Kent,Energy Efficiency,Other,
AH2-CHA-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,Municipality of Chatham-Kent,Energy Efficiency,Smart Meter (Individually Metered Units),
AH2-CHA-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,Municipality of Chatham-Kent,Renewable Energy,Solar Photovoltaic,
AH2-CHA-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,Municipality of Chatham-Kent,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH2-CHA-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,Municipality of Chatham-Kent,Comply with Canadian Environmental Assessment Act,Yes,
AH2-CHA-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,Municipality of Chatham-Kent,Energy Efficiency,Energy Star-rated Products,
AH2-CHA-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,Municipality of Chatham-Kent,Energy Efficiency,Other,
AH2-CHA-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,Municipality of Chatham-Kent,Energy Efficiency,Smart Meter (Individually Metered Units),
AH2-CHA-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,Municipality of Chatham-Kent,Renewable Energy,Solar Photovoltaic,
AH2-HAL-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,Regional Municipality of Halton,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH2-HAL-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,Regional Municipality of Halton,Comply with Canadian Environmental Assessment Act,Yes,
AH2-HAL-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,Regional Municipality of Halton,Energy Efficiency,Energy Star-rated Products,
AH2-HAL-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,Regional Municipality of Halton,Energy Efficiency,Smart Meter (Individually Metered Units),
AH2-HAL-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,Regional Municipality of Halton,LEED Certification,Other,
AH2-HAL-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,Regional Municipality of Halton,Renewable Energy,Geo-thermal System(s),
AH2-NIA-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,Regional Municipality of Niagara,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH2-NIA-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,Regional Municipality of Niagara,Comply with Canadian Environmental Assessment Act,Yes,
AH2-NIA-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,Regional Municipality of Niagara,Energy Efficiency,Energy Star-rated Products,
AH2-NIA-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,Regional Municipality of Niagara,Energy Efficiency,Other,
AH2-NIA-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,Regional Municipality of Niagara,Energy Efficiency,Smart Meter (Individually Metered Units),
AH2-NIA-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,Regional Municipality of Niagara,LEED Certification,Silver,
AH2-NIA-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,Regional Municipality of Niagara,Renewable Energy,Comments,
AH2-NIA-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,Regional Municipality of Niagara,Renewable Energy,Geo-thermal System(s),
AH2-PEE-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,Regional Municipality of Peel,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH2-PEE-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,Regional Municipality of Peel,Comply with Canadian Environmental Assessment Act,Yes,
AH2-PEE-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,Regional Municipality of Peel,Energy Efficiency,Energy Star-rated Products,
AH2-PEE-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,Regional Municipality of Peel,Energy Efficiency,Other,
AH2-PEE-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,Regional Municipality of Peel,Energy Efficiency,Smart Meter (Individually Metered Units),
AH2-PEE-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,Regional Municipality of Peel,LEED Certification,Silver,
AH2-WAT-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,Regional Municipality of Waterloo,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH2-WAT-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,Regional Municipality of Waterloo,Comply with Canadian Environmental Assessment Act,Yes,
AH2-WAT-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,Regional Municipality of Waterloo,Energy Efficiency,Energy Star-rated Products,
AH2-WAT-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,Regional Municipality of Waterloo,Energy Efficiency,Other,
AH2-WAT-RS-002,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,Regional Municipality of Waterloo,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH2-WAT-RS-002,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,Regional Municipality of Waterloo,Comply with Canadian Environmental Assessment Act,Yes,
AH2-WAT-RS-002,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,Regional Municipality of Waterloo,Energy Efficiency,Energy Star-rated Products,
AH2-WAT-RS-002,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,Regional Municipality of Waterloo,Energy Efficiency,Smart Meter (Individually Metered Units),
AH2-YOR-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,Regional Municipality of York,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH2-YOR-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,Regional Municipality of York,Comply with Canadian Environmental Assessment Act,Yes,
AH2-YOR-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,Regional Municipality of York,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH2-YOR-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,Regional Municipality of York,Comply with Canadian Environmental Assessment Act,Yes,
AH2-YOR-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,Regional Municipality of York,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH2-YOR-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,Regional Municipality of York,Comply with Canadian Environmental Assessment Act,Yes,
AH2-YOR-RS-002,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,Regional Municipality of York,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH2-YOR-RS-002,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,Regional Municipality of York,Comply with Canadian Environmental Assessment Act,Yes,
AH2-YOR-RS-003,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,Regional Municipality of York,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH2-YOR-RS-003,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,Regional Municipality of York,Comply with Canadian Environmental Assessment Act,Yes,
AH2-THU-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,Thunder Bay DSSAB,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH2-THU-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,Thunder Bay DSSAB,Comply with Canadian Environmental Assessment Act,Yes,
AH2-OAHS-RS-1-123194228,IAH Year - 2 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 2,Ontario Aboriginal Housing Social Services Corporation,Energy Efficiency,Energy Star-Rated Products,(Aboriginal)
AH2-OAHS-RS-1-123194228,IAH Year - 2 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 2,Ontario Aboriginal Housing Social Services Corporation,Energy Efficiency,Other,(Aboriginal)
AH2-OAHS-RS-1-123194228,IAH Year - 2 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 2,Ontario Aboriginal Housing Social Services Corporation,Energy Efficiency,Smart Meter (Individually Metered Units),(Aboriginal)
AH2-OAHS-RS-1-123194228,IAH Year - 2 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 2,Ontario Aboriginal Housing Social Services Corporation,Env./Bldg. Construction Design,None,(Aboriginal)
AH2-OAHS-RS-1-123194228,IAH Year - 2 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 2,Ontario Aboriginal Housing Social Services Corporation,Environmental Assessment,Yes,(Aboriginal)
AH2-OAHS-RS-1-123194785,IAH Year - 2 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 2,Ontario Aboriginal Housing Social Services Corporation,Energy Efficiency,Energy Star-Rated Products,(Aboriginal)
AH2-OAHS-RS-1-123194785,IAH Year - 2 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 2,Ontario Aboriginal Housing Social Services Corporation,Energy Efficiency,Other,(Aboriginal)
AH2-OAHS-RS-1-123194785,IAH Year - 2 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 2,Ontario Aboriginal Housing Social Services Corporation,Energy Efficiency,Smart Meter (Bulk Metered),(Aboriginal)
AH2-OAHS-RS-1-123194785,IAH Year - 2 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 2,Ontario Aboriginal Housing Social Services Corporation,Env./Bldg. Construction Design,None,(Aboriginal)
AH2-OAHS-RS-1-123194785,IAH Year - 2 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 2,Ontario Aboriginal Housing Social Services Corporation,Environmental Assessment,Yes,(Aboriginal)
AH2-OAHS-RS-1-123194785,IAH Year - 2 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 2,Ontario Aboriginal Housing Social Services Corporation,Renewable Energy Source,Solar Photovoltaic,(Aboriginal)
AH2-OAHS-RS-1-123200322,IAH Year - 2 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 2,Ontario Aboriginal Housing Social Services Corporation,Energy Efficiency,Energy Star-Rated Products,(Aboriginal)
AH2-OAHS-RS-1-123200322,IAH Year - 2 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 2,Ontario Aboriginal Housing Social Services Corporation,Energy Efficiency,Other,(Aboriginal)
AH2-OAHS-RS-1-123200322,IAH Year - 2 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 2,Ontario Aboriginal Housing Social Services Corporation,Energy Efficiency,Smart Meter (Bulk Metered),(Aboriginal)
AH2-OAHS-RS-1-123200322,IAH Year - 2 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 2,Ontario Aboriginal Housing Social Services Corporation,Env./Bldg. Construction Design,Certified,(Aboriginal)
AH2-OAHS-RS-1-123200322,IAH Year - 2 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 2,Ontario Aboriginal Housing Social Services Corporation,Environmental Assessment,Yes,(Aboriginal)
AH2-OAHS-RS-1-123200322,IAH Year - 2 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 2,Ontario Aboriginal Housing Social Services Corporation,Renewable Energy Source,Solar Photovoltaic,(Aboriginal)
AH2-OAHS-RS-1-123200859,IAH Year - 2 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 2,Ontario Aboriginal Housing Social Services Corporation,Energy Efficiency,Energy Star-Rated Products,(Aboriginal)
AH2-OAHS-RS-1-123200859,IAH Year - 2 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 2,Ontario Aboriginal Housing Social Services Corporation,Energy Efficiency,Other,(Aboriginal)
AH2-OAHS-RS-1-123200859,IAH Year - 2 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 2,Ontario Aboriginal Housing Social Services Corporation,Energy Efficiency,Smart Meter (Bulk Metered),(Aboriginal)
AH2-OAHS-RS-1-123200859,IAH Year - 2 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 2,Ontario Aboriginal Housing Social Services Corporation,Env./Bldg. Construction Design,Certified,(Aboriginal)
AH2-OAHS-RS-1-123200859,IAH Year - 2 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 2,Ontario Aboriginal Housing Social Services Corporation,Environmental Assessment,Yes,(Aboriginal)
AH2-OAHS-RS-1-123202396,IAH Year - 2 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 2,Ontario Aboriginal Housing Social Services Corporation,Energy Efficiency,Energy Star-Rated Products,(Aboriginal)
AH2-OAHS-RS-1-123202396,IAH Year - 2 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 2,Ontario Aboriginal Housing Social Services Corporation,Energy Efficiency,Other,(Aboriginal)
AH2-OAHS-RS-1-123202396,IAH Year - 2 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 2,Ontario Aboriginal Housing Social Services Corporation,Env./Bldg. Construction Design,None,(Aboriginal)
AH2-OAHS-RS-1-123202396,IAH Year - 2 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 2,Ontario Aboriginal Housing Social Services Corporation,Environmental Assessment,Yes,(Aboriginal)
AH3-HAM-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,City of Hamilton,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH3-HAM-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,City of Hamilton,Comply with Canadian Environmental Assessment Act,Yes,
AH3-HAM-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,City of Hamilton,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH3-HAM-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,City of Hamilton,Comply with Canadian Environmental Assessment Act,Yes,
AH3-LON-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,City of London,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH3-LON-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,City of London,Comply with Canadian Environmental Assessment Act,Yes,
AH3-LON-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,City of London,Energy Efficiency,Energy Star-rated Products,
AH3-LON-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,City of London,Energy Efficiency,Other,
AH3-LON-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,City of London,Energy Efficiency,Smart Meter (Individually Metered Units),
AH3-LON-RS-002,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,City of London,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH3-LON-RS-002,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,City of London,Comply with Canadian Environmental Assessment Act,Yes,
AH3-LON-RS-002,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,City of London,Energy Efficiency,Energy Star-rated Products,
AH3-LON-RS-002,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,City of London,Energy Efficiency,Smart Meter (Individually Metered Units),
AH3-LON-RS-003,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,City of London,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH3-LON-RS-003,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,City of London,Comply with Canadian Environmental Assessment Act,Yes,
AH3-LON-RS-003,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,City of London,Energy Efficiency,Energy Star-rated Products,
AH3-LON-RS-003,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,City of London,Energy Efficiency,Other,
AH3-LON-RS-003,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,City of London,Energy Efficiency,Smart Meter (Individually Metered Units),
AH3-LON-RS-004,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,City of London,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH3-LON-RS-004,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,City of London,Comply with Canadian Environmental Assessment Act,Yes,
AH3-LON-RS-004,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,City of London,Energy Efficiency,Energy Star-rated Products,
AH3-LON-RS-004,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,City of London,Energy Efficiency,Other,
AH3-LON-RS-004,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,City of London,Energy Efficiency,Smart Meter (Individually Metered Units),
AH3-LON-RS-005,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,City of London,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH3-LON-RS-005,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,City of London,Comply with Canadian Environmental Assessment Act,Yes,
AH3-LON-RS-005,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,City of London,Energy Efficiency,Energy Star-rated Products,
AH3-LON-RS-005,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,City of London,Energy Efficiency,Other,
AH3-LON-RS-005,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,City of London,Energy Efficiency,Smart Meter (Individually Metered Units),
AH3-LON-RS-006,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,City of London,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH3-LON-RS-006,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,City of London,Comply with Canadian Environmental Assessment Act,Yes,
AH3-LON-RS-006,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,City of London,Energy Efficiency,Energy Star-rated Products,
AH3-LON-RS-006,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,City of London,Energy Efficiency,Smart Meter (Individually Metered Units),
AH3-LON-RS-006,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,City of London,LEED Certification,Certified,
AH3-OTT-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,City of Ottawa,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH3-OTT-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,City of Ottawa,Comply with Canadian Environmental Assessment Act,Yes,
AH3-OTT-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,City of Ottawa,Energy Efficiency,Energy Star-rated Products,
AH3-OTT-RS-002,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,City of Ottawa,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH3-OTT-RS-002,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,City of Ottawa,Comply with Canadian Environmental Assessment Act,Yes,
AH3-OTT-RS-002,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,City of Ottawa,Energy Efficiency,Energy Star-rated Products,
AH3-OTT-RS-002,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,City of Ottawa,LEED Certification,Other,
AH3-TOR-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,City of Toronto,Comply with Canadian Environmental Assessment Act,Yes,
AH3-TOR-RS-002,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,City of Toronto,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH3-TOR-RS-002,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,City of Toronto,Comply with Canadian Environmental Assessment Act,Yes,
AH3-TOR-RS-002,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,City of Toronto,Energy Efficiency,Energy Star-rated Products,
AH3-TOR-RS-003,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,City of Toronto,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH3-TOR-RS-003,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,City of Toronto,Comply with Canadian Environmental Assessment Act,Yes,
AH3-TOR-RS-003,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,City of Toronto,Energy Efficiency,Energy Star-rated Products,
AH3-TOR-RS-003,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,City of Toronto,Energy Efficiency,Other,
AH3-TOR-RS-004,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,City of Toronto,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH3-TOR-RS-004,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,City of Toronto,Comply with Canadian Environmental Assessment Act,Yes,
AH3-TOR-RS-004,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,City of Toronto,Energy Efficiency,Energy Star-rated Products,
AH3-TOR-RS-004,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,City of Toronto,LEED Certification,,
AH3-BRU-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,County of Bruce,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
